RA,Dec,z_helio,z_err,M*,M*_err,mass_bin,Probability
62.751694,26.612616,0.060017,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
63.338406,36.304497,0.05339,0.015,8000000000.0,0.6,3.0,4.941015314465005e-05
44.09074,26.426748,0.033504,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
44.698292,36.022167,0.032553,0.015,30000000000.0,3.0,4.0,4.080156200022499e-05
44.754395,33.910221,0.016961,0.015,2000000000.0,0.3,3.0,6.0603813519280345e-05
44.939365,26.448137,0.056293,0.015,40000000000.0,2.0,4.0,3.9189834982676744e-05
47.719837,22.457394,0.063374,0.015,90000000000.0,4.0,4.0,3.506880124067236e-05
48.349323,30.230904,0.049494,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
51.125999,40.019169,0.048969,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
52.474422,39.839092,0.058865,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
52.623329,32.796852,0.0443,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
53.661819,28.722599,0.02761,0.015,7000000000.0,0.7,3.0,5.040315499127116e-05
54.112774,34.203293,0.04626,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
54.377514,39.706738,0.023211,0.015,6000000000.0,0.8,3.0,5.157963282666464e-05
55.615234,26.065151,0.05782,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
55.738632,38.257629,0.040008,0.015,30000000000.0,3.0,4.0,4.080156200022499e-05
60.894791,23.97953,0.037549,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
43.878536,33.951328,0.054478,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
48.088722,36.925793,0.058824,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
50.676907,19.354279,0.053542,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
51.974304,36.639366,0.036915,0.015,4000000000.0,0.4,3.0,5.482280119476374e-05
60.409561,20.264116,0.050401,0.015,10000000000.0,0.8,3.0,4.780434491432291e-05
65.871353,30.894999,0.062782,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
44.798023,32.612431,0.029889,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
44.779865,33.977715,0.03849,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
45.171394,35.579285,0.031854,0.015,5000000000.0,0.5,3.0,5.3012305173910116e-05
49.175869,40.062363,0.030034,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
49.909912,38.431133,0.039506,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
49.985943,40.448692,0.01687,0.015,2000000000.0,0.4,3.0,6.0603813519280345e-05
58.214275,35.575039,0.029304,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
60.865425,19.887938,0.024373,0.015,3000000000.0,0.4,3.0,5.7228581392301396e-05
53.420788,18.894855,0.046124,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
52.8232,18.939026,0.038384,0.015,6000000000.0,0.5,3.0,5.157963282666464e-05
51.832016,18.95747,0.05081,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
53.742653,19.351131,0.05127,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
51.421169,19.447994,0.056049,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
51.393887,19.482145,0.038063,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
59.561012,19.612938,0.033622,0.015,3000000000.0,0.3,3.0,5.7228581392301396e-05
49.625206,20.093077,0.044738,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
53.526691,20.13484,0.061504,0.015,40000000000.0,2.0,4.0,3.9189834982676744e-05
59.707581,20.325172,0.029045,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
50.757011,20.329273,0.031448,0.015,5000000000.0,0.5,3.0,5.3012305173910116e-05
49.513271,20.403904,0.040965,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
48.154552,20.472525,0.060781,0.015,50000000000.0,2.0,4.0,3.79960037946725e-05
48.287407,20.528952,0.060831,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
59.728554,20.622253,0.057097,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
49.450314,20.691967,0.053721,0.015,7000000000.0,0.5,3.0,5.040315499127116e-05
47.674313,20.796841,0.050409,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
59.461151,20.911287,0.053714,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
59.301334,20.981297,0.03573,0.015,7000000000.0,0.6,3.0,5.040315499127116e-05
47.538559,21.125109,0.042098,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
60.850529,21.12517,0.055346,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
50.694748,21.130947,0.060291,0.015,90000000000.0,4.0,4.0,3.506880124067236e-05
48.997185,21.158672,0.046851,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
58.440098,21.188328,0.059865,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
50.703976,21.281227,0.055203,0.015,50000000000.0,2.0,4.0,3.79960037946725e-05
56.579346,21.305679,0.043531,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
58.858719,21.338558,0.060709,0.015,40000000000.0,2.0,4.0,3.9189834982676744e-05
46.68462,21.871349,0.062885,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
51.901672,22.000513,0.036499,0.015,11000000000.0,0.9,4.0,4.7138529185448596e-05
51.889095,22.018017,0.061124,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
50.525684,22.037905,0.058475,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
58.22961,22.048498,0.062485,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
52.381878,22.054016,0.062354,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
60.272591,22.150467,0.058359,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
58.474545,22.159159,0.06083,0.015,40000000000.0,2.0,4.0,3.9189834982676744e-05
59.26804,22.254654,0.042128,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
57.943634,22.441673,0.055671,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
59.92181,22.50716,0.037016,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
60.183365,22.640846,0.055149,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
61.2183,22.832355,0.052006,0.015,12000000000.0,0.9,4.0,4.65409505737298e-05
61.687672,22.930511,0.054419,0.015,40000000000.0,2.0,4.0,3.9189834982676744e-05
60.270912,22.938524,0.054355,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
60.454723,23.28966,0.036947,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
61.555286,23.314369,0.048974,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
46.789429,23.380213,0.039491,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
46.450024,23.447603,0.05405,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
62.566689,23.449211,0.048699,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
63.476864,23.498325,0.042833,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
63.402271,23.548035,0.045534,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
47.264576,23.612385,0.058454,0.015,90000000000.0,4.0,4.0,3.506880124067236e-05
61.252369,23.872799,0.049048,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
47.254375,24.149254,0.061512,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
47.486984,24.18759,0.036246,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
44.583153,24.547276,0.048111,0.015,90000000000.0,5.0,4.0,3.506880124067236e-05
52.415863,24.885246,0.063311,0.015,60000000000.0,3.0,4.0,3.705529147808151e-05
53.035378,25.605156,0.041396,0.015,9000000000.0,0.8,3.0,4.855426858587597e-05
46.664295,25.607985,0.055713,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
50.60334,25.652132,0.062766,0.015,100000000000.0,5.0,4.0,3.457528783111223e-05
52.428623,25.667469,0.0447,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
48.812237,25.814621,0.056954,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
51.070755,25.853951,0.059024,0.015,40000000000.0,2.0,4.0,3.9189834982676744e-05
51.640255,26.060627,0.05955,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
61.533192,26.073593,0.062904,0.015,90000000000.0,4.0,4.0,3.506880124067236e-05
47.411724,26.113964,0.060947,0.015,40000000000.0,2.0,4.0,3.9189834982676744e-05
